team1,team2,venue,toss_winner,toss_decision,winner,date
Canada,Ireland,Dubai International Cricket Stadium,Canada,bat,Ireland,2012-03-22
Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,field,Ireland,2012-03-23
Canada,Scotland,Dubai International Cricket Stadium,Canada,bat,Scotland,2012-03-23
West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,bat,Australia,2012-03-27
West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,bat,West Indies,2012-03-30
South Africa,India,New Wanderers Stadium,India,field,South Africa,2012-03-30
Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,Sri Lanka,2012-06-01
Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan,bat,Pakistan,2012-06-03
England,West Indies,Trent Bridge,West Indies,bat,England,2012-06-24
England,India,St Lawrence Ground,India,field,England,2012-06-26
England,India,County Ground,India,bat,England,2012-06-28
New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,New Zealand,field,West Indies,2012-06-30
New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,bat,West Indies,2012-07-01
Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",Ireland,field,Bangladesh,2012-07-18
Netherlands,Bangladesh,Sportpark Westvliet,Netherlands,bat,Bangladesh,2012-07-25
Netherlands,Bangladesh,Sportpark Westvliet,Bangladesh,bat,Netherlands,2012-07-26
Sri Lanka,India,Pallekele International Cricket Stadium,Sri Lanka,field,India,2012-08-07
England,Pakistan,Haslegrave Ground,Pakistan,bat,England,2012-09-04
Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Pakistan,2012-09-05
England,Pakistan,Haslegrave Ground,England,bat,England,2012-09-05
England,West Indies,Riverside Ground,West Indies,bat,England,2012-09-08
England,South Africa,Riverside Ground,South Africa,field,South Africa,2012-09-08
England,West Indies,Old Trafford,West Indies,field,England,2012-09-10
Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Australia,2012-09-10
India,New Zealand,"MA Chidambaram Stadium, Chepauk",India,field,New Zealand,2012-09-11
England,South Africa,Edgbaston,South Africa,field,England,2012-09-12
England,West Indies,County Ground,England,bat,England,2012-09-13
England,West Indies,County Ground,England,bat,England,2012-09-15
England,West Indies,Arundel Castle Cricket Club Ground,West Indies,field,West Indies,2012-09-16
Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe,field,Sri Lanka,2012-09-18
Australia,Ireland,R Premadasa Stadium,Ireland,bat,Australia,2012-09-19
South Africa,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,field,South Africa,2012-09-20
Bangladesh,New Zealand,Pallekele International Cricket Stadium,Bangladesh,field,New Zealand,2012-09-21
