team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
South Africa,West Indies,Kennington Oval,West Indies,0,South Africa,2009-06-13,20,0.65,5,12,0.5,3,2,1,1,1.0,3,0.6666666666666666,0,1
Ireland,Sri Lanka,Lord's,Sri Lanka,1,Sri Lanka,2009-06-14,4,0.5,2,14,0.6428571428571429,4,0,0,0,0.0,1,1.0,0,1
England,India,Lord's,India,0,England,2009-06-14,18,0.3888888888888889,2,14,0.6428571428571429,2,0,1,1,0.0,1,0.0,0,1
England,West Indies,Kennington Oval,England,1,West Indies,2009-06-15,19,0.42105263157894735,2,13,0.46153846153846156,3,1,2,3,0.6666666666666666,4,0.5,1,0
Ireland,Pakistan,Kennington Oval,Pakistan,1,Pakistan,2009-06-15,5,0.4,2,17,0.7647058823529411,3,0,0,0,0.0,2,0.5,0,1
India,South Africa,Trent Bridge,South Africa,1,South Africa,2009-06-16,15,0.6,2,21,0.6666666666666666,5,2,0,2,1.0,1,1.0,0,1
New Zealand,Sri Lanka,Trent Bridge,Sri Lanka,1,Sri Lanka,2009-06-16,23,0.43478260869565216,3,15,0.6666666666666666,4,1,2,1,1.0,2,1.0,0,1
Pakistan,South Africa,Trent Bridge,Pakistan,1,Pakistan,2009-06-18,18,0.7777777777777778,3,22,0.6818181818181818,5,0,0,0,0.0,2,1.0,1,0
India,New Zealand,Trent Bridge,New Zealand,1,New Zealand,2009-06-18,16,0.5625,2,24,0.4166666666666667,2,0,3,3,0.6666666666666666,2,0.5,0,1
Sri Lanka,West Indies,Kennington Oval,West Indies,0,Sri Lanka,2009-06-19,16,0.6875,5,14,0.5,3,1,0,0,0.0,5,0.6,0,1
England,Australia,Kennington Oval,England,0,England,2009-06-19,20,0.4,2,23,0.4782608695652174,0,1,2,4,0.5,1,0.0,1,0
Pakistan,Sri Lanka,Lord's,Sri Lanka,1,Pakistan,2009-06-21,19,0.7894736842105263,4,17,0.7058823529411765,5,2,2,2,0.5,2,1.0,0,1
