team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
West Indies,India,"Newlands, Cape Town",West Indies,1,India,2023-02-15,245,0.4204081632653061,0,293,0.6143344709897611,4,8,25,0,0.0,1,1.0,1,0
Sri Lanka,Australia,"St George's Park, Gqeberha",Australia,0,Australia,2023-02-16,243,0.40329218106995884,3,271,0.6383763837638377,5,10,21,0,0.0,1,1.0,0,1
Ireland,West Indies,"Newlands, Cape Town",Ireland,1,West Indies,2023-02-17,176,0.4375,1,246,0.4186991869918699,0,3,6,1,0.0,1,0.0,1,0
New Zealand,Bangladesh,"Newlands, Cape Town",New Zealand,1,New Zealand,2023-02-17,253,0.5573122529644269,1,194,0.3865979381443299,0,18,3,0,0.0,1,0.0,1,0
England,India,"St George's Park, Gqeberha",India,0,England,2023-02-18,278,0.6402877697841727,5,294,0.6156462585034014,4,27,17,0,0.0,0,0.0,0,1
South Africa,Australia,"St George's Park, Gqeberha",Australia,0,Australia,2023-02-18,251,0.5378486055776892,4,272,0.6397058823529411,5,8,16,0,0.0,2,1.0,0,1
West Indies,Pakistan,"Boland Park, Paarl",West Indies,1,West Indies,2023-02-19,247,0.42105263157894735,1,300,0.5466666666666666,1,9,17,1,0.0,0,0.0,1,0
New Zealand,Sri Lanka,"Boland Park, Paarl",New Zealand,1,New Zealand,2023-02-19,254,0.5590551181102362,1,244,0.4016393442622951,3,16,7,2,0.0,0,0.0,1,0
India,Ireland,"St George's Park, Gqeberha",India,1,India,2023-02-20,295,0.6135593220338983,3,177,0.4350282485875706,1,6,0,1,0.0,0,0.0,1,0
Bangladesh,South Africa,"Newlands, Cape Town",Bangladesh,1,South Africa,2023-02-21,195,0.38461538461538464,0,252,0.5357142857142857,3,0,13,2,0.0,1,0.0,1,0
Argentina,Bermuda,"St Albans Club, Buenos Aires",Argentina,1,Bermuda,2023-02-21,5,0.2,1,14,0.42857142857142855,2,0,0,0,0.0,0,0.0,1,0
England,Pakistan,"Newlands, Cape Town",England,1,England,2023-02-21,279,0.6415770609318996,5,301,0.5448504983388704,1,30,10,0,0.0,2,0.5,1,0
Bermuda,Argentina,"Belgrano Athletic Club Ground, Buenos Aires",Argentina,0,Bermuda,2023-02-22,15,0.4666666666666667,3,6,0.16666666666666666,1,1,0,0,0.0,0,0.0,0,1
Australia,India,"Newlands, Cape Town",Australia,1,Australia,2023-02-23,273,0.6410256410256411,5,296,0.6148648648648649,3,26,19,0,0.0,2,1.0,1,0
South Africa,England,"Newlands, Cape Town",South Africa,1,South Africa,2023-02-24,253,0.5375494071146245,3,280,0.6428571428571429,5,14,24,2,0.5,1,1.0,1,0
Isle of Man,Spain,La Manga Club Bottom Ground,Isle of Man,1,Spain,2023-02-25,10,0.8,4,23,0.6956521739130435,4,0,0,0,0.0,4,1.0,1,0
Isle of Man,Spain,La Manga Club Bottom Ground,Isle of Man,1,Spain,2023-02-25,11,0.7272727272727273,3,24,0.7083333333333334,4,0,1,1,0.0,5,1.0,1,0
Bermuda,Cayman Islands,"St Albans Club, Buenos Aires",Bermuda,1,Bermuda,2023-02-25,16,0.5,4,6,0.0,0,2,0,1,1.0,0,0.0,1,0
Panama,Argentina,"Hurlingham Club Ground, Buenos Aires",Argentina,0,Panama,2023-02-25,3,0.3333333333333333,1,7,0.14285714285714285,1,0,0,0,0.0,0,0.0,0,1
Bermuda,Argentina,"Belgrano Athletic Club Ground, Buenos Aires",Bermuda,1,Bermuda,2023-02-26,17,0.5294117647058824,5,8,0.125,0,2,0,1,1.0,1,0.0,1,0
Isle of Man,Spain,La Manga Club Bottom Ground,Spain,0,Spain,2023-02-26,12,0.6666666666666666,2,25,0.72,5,0,2,2,0.0,6,1.0,0,1
Panama,Bahamas,"Hurlingham Club Ground, Buenos Aires",Panama,1,Bahamas,2023-02-26,4,0.5,2,4,0.25,1,1,0,1,1.0,0,0.0,1,0
Australia,South Africa,"Newlands, Cape Town",Australia,1,Australia,2023-02-26,274,0.6423357664233577,5,254,0.5393700787401575,3,17,8,1,1.0,3,0.6666666666666666,1,0
Isle of Man,Spain,La Manga Club Bottom Ground,Spain,0,Spain,2023-02-26,13,0.6153846153846154,1,26,0.7307692307692307,5,0,3,3,0.0,7,1.0,0,1
Bermuda,Panama,"Belgrano Athletic Club Ground, Buenos Aires",Bermuda,1,Bermuda,2023-02-28,18,0.5555555555555556,5,5,0.4,2,0,0,2,1.0,0,0.0,1,0
Cayman Islands,Bahamas,"St Albans Club, Buenos Aires",Cayman Islands,1,Cayman Islands,2023-02-28,7,0.0,0,5,0.4,2,0,0,1,0.0,0,0.0,1,0
Argentina,Bahamas,"St Albans Club, Buenos Aires",Argentina,1,Argentina,2023-03-02,9,0.1111111111111111,0,6,0.3333333333333333,1,0,1,1,0.0,1,0.0,1,0
Cayman Islands,Panama,"Hurlingham Club Ground, Buenos Aires",Cayman Islands,1,Cayman Islands,2023-03-02,8,0.125,1,6,0.3333333333333333,2,0,0,0,0.0,2,0.5,1,0
Bahamas,Bermuda,"Hurlingham Club Ground, Buenos Aires",Bermuda,0,Bermuda,2023-03-04,7,0.2857142857142857,1,19,0.5789473684210527,5,0,1,1,1.0,0,0.0,0,1
Argentina,Cayman Islands,"Belgrano Athletic Club Ground, Buenos Aires",Argentina,1,Cayman Islands,2023-03-04,10,0.2,1,9,0.2222222222222222,2,0,0,2,0.0,0,0.0,1,0
Hong Kong,Bahrain,"Mission Road Ground, Mong Kok, Hong Kong",Bahrain,0,Hong Kong,2023-03-08,72,0.4305555555555556,3,31,0.45161290322580644,3,1,0,0,0.0,0,0.0,0,1
Kuwait,Malaysia,"Mission Road Ground, Mong Kok, Hong Kong",Malaysia,0,Malaysia,2023-03-08,34,0.38235294117647056,4,77,0.4805194805194805,4,0,3,0,0.0,0,0.0,0,1
Hong Kong,Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,0,Hong Kong,2023-03-09,73,0.4383561643835616,4,35,0.37142857142857144,3,4,0,1,1.0,1,0.0,0,1
England,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,0,Bangladesh,2023-03-09,281,0.6405693950177936,4,196,0.3826530612244898,0,3,0,0,0.0,0,0.0,0,1
Malaysia,Bahrain,"Mission Road Ground, Mong Kok, Hong Kong",Bahrain,0,Malaysia,2023-03-09,78,0.48717948717948717,4,32,0.4375,3,1,1,1,1.0,1,0.0,0,1
Malaysia,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,0,Hong Kong,2023-03-11,79,0.4936708860759494,4,74,0.44594594594594594,5,6,2,2,1.0,2,1.0,0,1
Kuwait,Bahrain,"Mission Road Ground, Mong Kok, Hong Kong",Bahrain,0,Bahrain,2023-03-11,36,0.3611111111111111,2,33,0.42424242424242425,2,5,1,2,0.0,2,0.0,0,1
Hong Kong,Malaysia,"Mission Road Ground, Mong Kok, Hong Kong",Malaysia,0,Hong Kong,2023-03-12,75,0.4533333333333333,5,80,0.4875,3,3,6,3,1.0,3,0.6666666666666666,0,1
England,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,0,Bangladesh,2023-03-12,282,0.6382978723404256,3,197,0.38578680203045684,1,3,1,0,0.0,19,0.5789473684210527,0,1
Bahrain,Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,0,Kuwait,2023-03-12,34,0.4411764705882353,3,37,0.35135135135135137,1,2,5,3,0.3333333333333333,3,0.0,0,1
Bangladesh,England,"Shere Bangla National Stadium, Mirpur",England,0,Bangladesh,2023-03-14,198,0.3888888888888889,2,283,0.6360424028268551,2,2,3,20,0.6,1,0.0,0,1
South Africa,West Indies,"SuperSport Park, Centurion",West Indies,0,West Indies,2023-03-25,255,0.5372549019607843,3,248,0.42338709677419356,2,17,13,2,0.0,0,0.0,0,1
West Indies,South Africa,"SuperSport Park, Centurion",South Africa,0,South Africa,2023-03-26,249,0.42570281124497994,3,256,0.53515625,2,14,17,1,1.0,3,0.0,0,1
Rwanda,Ghana,Tafawa Balewa Square (TBS) Cricket Oval,Ghana,0,Rwanda,2023-03-27,42,0.42857142857142855,0,21,0.38095238095238093,1,2,3,0,0.0,0,0.0,0,1
Bangladesh,Ireland,"Zahur Ahmed Chowdhury Stadium, Chattogram",Ireland,0,Bangladesh,2023-03-27,199,0.39195979899497485,3,178,0.43258426966292135,0,8,4,1,1.0,0,0.0,0,1
West Indies,South Africa,"The Wanderers Stadium, Johannesburg",South Africa,0,West Indies,2023-03-28,250,0.424,3,257,0.5369649805447471,3,14,18,0,0.0,2,0.5,0,1
Bangladesh,Ireland,"Zahur Ahmed Chowdhury Stadium, Chattogram",Ireland,0,Bangladesh,2023-03-29,200,0.395,4,179,0.4301675977653631,0,9,4,2,1.0,1,0.0,0,1
Bangladesh,Ireland,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,1,Ireland,2023-03-31,201,0.39800995024875624,5,180,0.42777777777777776,0,10,4,3,1.0,2,0.0,1,0
Sri Lanka,New Zealand,"University Oval, Dunedin",New Zealand,0,New Zealand,2023-04-05,245,0.4,2,255,0.5607843137254902,2,7,17,0,0.0,1,1.0,0,1
Sri Lanka,New Zealand,"John Davies Oval, Queenstown",New Zealand,0,New Zealand,2023-04-08,246,0.3983739837398374,2,256,0.5625,3,7,18,0,0.0,2,1.0,0,1
Portugal,Gibraltar,Santarem Cricket Ground,Portugal,1,Portugal,2023-04-10,8,0.5,3,19,0.10526315789473684,1,2,0,0,0.0,0,0.0,1,0
Gibraltar,Portugal,Santarem Cricket Ground,Gibraltar,1,Portugal,2023-04-11,20,0.1,1,9,0.5555555555555556,3,0,3,1,0.0,1,1.0,1,0
Gibraltar,Portugal,Santarem Cricket Ground,Gibraltar,1,Portugal,2023-04-11,21,0.09523809523809523,1,10,0.6,3,0,4,2,0.0,2,1.0,1,0
Pakistan,New Zealand,"Gaddafi Stadium, Lahore",Pakistan,1,Pakistan,2023-04-14,302,0.543046357615894,1,257,0.5642023346303502,4,18,17,7,0.2857142857142857,0,0.0,1,0
Pakistan,New Zealand,"Gaddafi Stadium, Lahore",Pakistan,1,Pakistan,2023-04-15,303,0.5445544554455446,2,258,0.562015503875969,4,19,17,8,0.375,1,0.0,1,0
New Zealand,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,1,New Zealand,2023-04-17,259,0.5598455598455598,3,304,0.5460526315789473,3,17,20,2,0.0,9,0.4444444444444444,1,0
Pakistan,New Zealand,Rawalpindi Cricket Stadium,New Zealand,0,New Zealand,2023-04-24,305,0.5442622950819672,2,260,0.5615384615384615,3,20,18,3,1.0,0,0.0,0,1
Namibia,Hong Kong,"United Cricket Club Ground, Windhoek",Hong Kong,0,Namibia,2023-04-25,75,0.6533333333333333,2,76,0.4605263157894737,5,0,0,3,0.6666666666666666,0,0.0,0,1
Zimbabwe,Thailand,"Terdthai Cricket Ground, Bangkok",Zimbabwe,1,Zimbabwe,2023-04-25,127,0.44881889763779526,2,57,0.45614035087719296,3,3,2,0,0.0,0,0.0,1,0
United Arab Emirates,Uganda,"United Cricket Club Ground, Windhoek",Uganda,0,United Arab Emirates,2023-04-25,97,0.5670103092783505,1,75,0.6133333333333333,4,0,0,0,0.0,3,0.3333333333333333,0,1
United Arab Emirates,Hong Kong,"United Cricket Club Ground, Windhoek",Hong Kong,0,Hong Kong,2023-04-26,98,0.5714285714285714,2,77,0.45454545454545453,4,8,1,1,1.0,1,0.0,0,1
United Arab Emirates,Namibia,"United Cricket Club Ground, Windhoek",Namibia,0,Namibia,2023-04-27,99,0.5656565656565656,2,76,0.6578947368421053,2,1,0,2,0.5,4,0.75,0,1
Hong Kong,Uganda,"United Cricket Club Ground, Windhoek",Hong Kong,1,Uganda,2023-04-27,78,0.46153846153846156,4,76,0.6052631578947368,4,0,2,2,0.5,4,0.25,1,0
Zimbabwe,Thailand,"Terdthai Cricket Ground, Bangkok",Zimbabwe,1,Thailand,2023-04-27,128,0.453125,3,58,0.4482758620689655,3,4,2,1,1.0,1,0.0,1,0
Zimbabwe,Thailand,"Terdthai Cricket Ground, Bangkok",Zimbabwe,1,Thailand,2023-04-28,129,0.4496124031007752,3,59,0.4576271186440678,3,4,3,2,0.5,2,0.5,1,0
Namibia,Uganda,"United Cricket Club Ground, Windhoek",Uganda,0,Namibia,2023-04-29,77,0.6623376623376623,3,77,0.6103896103896104,4,10,1,5,0.8,5,0.4,0,1
Namibia,United Arab Emirates,"United Cricket Club Ground, Windhoek",Namibia,1,Namibia,2023-04-30,78,0.6666666666666666,3,100,0.56,2,1,1,6,0.8333333333333334,3,0.3333333333333333,1,0
United Arab Emirates,Hong Kong,"United Cricket Club Ground, Windhoek",Hong Kong,0,United Arab Emirates,2023-05-01,101,0.5544554455445545,2,79,0.45569620253164556,3,8,2,4,0.25,3,0.3333333333333333,0,1
Namibia,Uganda,"United Cricket Club Ground, Windhoek",Namibia,1,Uganda,2023-05-01,79,0.6708860759493671,4,78,0.6025641025641025,3,11,1,7,0.8571428571428571,6,0.3333333333333333,1,0
Uganda,Namibia,"United Cricket Club Ground, Windhoek",Uganda,1,Uganda,2023-05-02,79,0.6075949367088608,3,80,0.6625,4,2,11,7,0.42857142857142855,8,0.75,1,0
Gibraltar,Portugal,Europa Sports Complex,Gibraltar,1,Portugal,2023-05-04,22,0.09090909090909091,1,11,0.6363636363636364,4,0,5,0,0.0,0,0.0,1,0
Portugal,Malta,Europa Sports Complex,Malta,0,Portugal,2023-05-04,12,0.6666666666666666,4,22,0.6363636363636364,3,1,0,1,1.0,0,0.0,0,1
Portugal,Malta,Europa Sports Complex,Portugal,1,Portugal,2023-05-05,13,0.6923076923076923,5,23,0.6086956521739131,2,2,0,2,1.0,1,0.0,1,0
Gibraltar,Malta,Europa Sports Complex,Gibraltar,1,Gibraltar,2023-05-05,23,0.08695652173913043,0,24,0.5833333333333334,2,0,5,1,0.0,2,0.0,1,0
Malta,Portugal,Europa Sports Complex,Malta,1,Portugal,2023-05-06,25,0.56,2,14,0.7142857142857143,5,0,3,3,0.0,3,1.0,1,0
Gibraltar,Malta,Europa Sports Complex,Gibraltar,1,Gibraltar,2023-05-06,24,0.125,1,26,0.5384615384615384,1,1,5,2,0.5,4,0.0,1,0
Gibraltar,Portugal,Europa Sports Complex,Gibraltar,1,Portugal,2023-05-06,25,0.16,2,15,0.7333333333333333,5,0,6,3,0.6666666666666666,4,1.0,1,0
Gibraltar,Portugal,Europa Sports Complex,Gibraltar,1,Portugal,2023-05-07,26,0.15384615384615385,2,16,0.75,5,0,7,4,0.5,5,1.0,1,0
Malta,Gibraltar,Europa Sports Complex,Malta,1,Malta,2023-05-07,27,0.5185185185185185,0,27,0.14814814814814814,2,5,2,5,0.0,5,0.4,1,0
Sri Lanka,Bangladesh,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,1,Bangladesh,2023-05-09,247,0.3967611336032389,1,202,0.39603960396039606,4,14,6,0,0.0,0,0.0,1,0
Bangladesh,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,0,Sri Lanka,2023-05-11,203,0.39901477832512317,4,248,0.3951612903225806,0,7,14,1,1.0,1,0.0,0,1
Sri Lanka,Bangladesh,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,1,Sri Lanka,2023-05-12,249,0.39759036144578314,1,204,0.39705882352941174,3,15,7,2,0.5,2,0.5,1,0
Norway,Denmark,"Svanholm Park, Brondby",Norway,1,Denmark,2023-05-18,19,0.2631578947368421,2,20,0.4,4,0,1,0,0.0,5,0.6,1,0
Denmark,Finland,"Svanholm Park, Brondby",Denmark,1,Denmark,2023-05-18,21,0.42857142857142855,4,12,0.5833333333333334,4,2,1,6,0.6666666666666666,3,0.3333333333333333,1,0
Denmark,Sweden,"Svanholm Park, Brondby",Sweden,0,Sweden,2023-05-19,22,0.45454545454545453,4,17,0.4117647058823529,3,1,1,7,0.7142857142857143,2,0.5,0,1
Finland,Denmark,"Svanholm Park, Brondby",Finland,1,Denmark,2023-05-19,13,0.5384615384615384,3,23,0.43478260869565216,4,1,3,4,0.25,8,0.625,1,0
Finland,Norway,"Solvangs Park, Glostrup",Finland,1,Norway,2023-05-20,14,0.5,3,20,0.25,1,0,0,0,0.0,0,0.0,1,0
Nepal,Malaysia,"YSD-UKM Cricket Oval, Bangi",Malaysia,0,Malaysia,2023-05-29,75,0.64,3,81,0.48148148148148145,2,8,0,0,0.0,0,0.0,0,1
Turkey,Sweden,"FB Fields, St Clement",Sweden,0,Sweden,2023-05-29,4,0.0,0,18,0.4444444444444444,3,0,0,0,0.0,0,0.0,0,1
Italy,Jersey,"Grainville, St Saviour, Jersey",Italy,1,Jersey,2023-05-29,18,0.5555555555555556,2,22,0.6818181818181818,2,0,3,0,0.0,0,0.0,1,0
France,Italy,"Grainville, St Saviour, Jersey",France,1,Italy,2023-05-29,15,0.2,2,19,0.5263157894736842,1,0,0,0,0.0,1,0.0,1,0
Turkey,Jersey,"Grainville, St Saviour, Jersey",Jersey,0,Jersey,2023-05-30,5,0.0,0,23,0.6956521739130435,2,0,0,0,0.0,1,1.0,0,1
Malaysia,Nepal,"YSD-UKM Cricket Oval, Bangi",Malaysia,1,Nepal,2023-05-30,82,0.4878048780487805,3,76,0.631578947368421,3,1,8,1,1.0,1,0.0,1,0
France,Sweden,"FB Fields, St Clement",Sweden,0,France,2023-05-30,16,0.1875,2,19,0.47368421052631576,4,0,0,0,0.0,1,1.0,0,1
Jersey,Germany,"Grainville, St Saviour, Jersey",Germany,0,Germany,2023-05-30,24,0.7083333333333334,3,55,0.6,3,2,1,2,1.0,0,0.0,0,1
Nepal,Malaysia,"YSD-UKM Cricket Oval, Bangi",Malaysia,0,Nepal,2023-06-01,77,0.6363636363636364,3,83,0.4819277108433735,2,9,1,2,0.5,2,0.5,0,1
France,Turkey,"FB Fields, St Clement",Turkey,0,France,2023-06-01,17,0.23529411764705882,2,6,0.0,0,0,0,1,1.0,1,0.0,0,1
Sweden,Germany,"Grainville, St Saviour, Jersey",Germany,0,Germany,2023-06-01,20,0.45,3,56,0.6071428571428571,4,0,2,0,0.0,1,1.0,0,1
France,Jersey,"FB Fields, St Clement",France,1,France,2023-06-01,18,0.2777777777777778,3,25,0.68,3,0,0,2,1.0,0,0.0,1,0
Germany,Italy,"Grainville, St Saviour, Jersey",Italy,0,Italy,2023-06-01,57,0.6140350877192983,4,20,0.55,2,3,2,2,1.0,2,0.5,0,1
France,Germany,"Grainville, St Saviour, Jersey",France,1,France,2023-06-02,19,0.3157894736842105,3,58,0.603448275862069,3,0,6,1,0.0,3,0.6666666666666666,1,0
Jersey,Sweden,"FB Fields, St Clement",Sweden,0,Jersey,2023-06-02,26,0.6538461538461539,3,21,0.42857142857142855,2,0,0,1,0.0,2,0.5,0,1
Italy,Turkey,"Grainville, St Saviour, Jersey",Turkey,0,Italy,2023-06-02,21,0.5714285714285714,3,7,0.0,0,0,0,3,0.6666666666666666,1,0.0,0,1
Nepal,Malaysia,"YSD-UKM Cricket Oval, Bangi",Nepal,1,Malaysia,2023-06-03,78,0.6410256410256411,3,84,0.47619047619047616,1,10,1,3,0.6666666666666666,3,0.3333333333333333,1,0
Malaysia,Nepal,"YSD-UKM Cricket Oval, Bangi",Nepal,0,Nepal,2023-06-04,85,0.4823529411764706,2,79,0.6329113924050633,3,2,10,4,0.5,4,0.5,0,1
Kenya,Uganda,"Gymkhana Club Ground, Nairobi",Kenya,1,Kenya,2023-06-10,65,0.5076923076923077,3,80,0.6125,3,4,6,8,0.375,2,1.0,1,0
Belgium,Germany,Bayer Uerdingen Cricket Ground,Germany,0,Germany,2023-06-10,13,0.7692307692307693,4,59,0.5932203389830508,2,0,0,0,0.0,12,0.8333333333333334,0,1
Botswana,Kenya,"Gymkhana Club Ground, Nairobi",Botswana,1,Kenya,2023-06-11,37,0.2972972972972973,2,66,0.5151515151515151,3,0,2,0,0.0,9,0.4444444444444444,1,0
Hungary,Czech Republic,"Scott Page Field, Vinor",Hungary,1,Czech Republic,2023-06-11,13,0.38461538461538464,0,21,0.5238095238095238,4,1,2,0,0.0,8,0.5,1,0
Belgium,Germany,Bayer Uerdingen Cricket Ground,Germany,0,Germany,2023-06-11,14,0.7142857142857143,3,60,0.6,3,0,1,1,0.0,13,0.8461538461538461,0,1
Rwanda,Uganda,"Gymkhana Club Ground, Nairobi",Rwanda,1,Uganda,2023-06-11,43,0.4418604651162791,1,81,0.6049382716049383,3,0,7,0,0.0,3,0.6666666666666666,1,0
Uganda,Kenya,"Gymkhana Club Ground, Nairobi",Uganda,1,Uganda,2023-06-13,82,0.6097560975609756,3,67,0.5223880597014925,3,6,5,4,0.75,10,0.5,1,0
Rwanda,Botswana,"Gymkhana Club Ground, Nairobi",Botswana,0,Rwanda,2023-06-13,44,0.4318181818181818,1,38,0.2894736842105263,2,2,0,1,0.0,1,0.0,0,1
Malaysia,United Arab Emirates,"Mission Road Ground, Mong Kok, Hong Kong",United Arab Emirates,0,United Arab Emirates,2023-06-14,86,0.47674418604651164,2,102,0.5588235294117647,2,0,5,4,0.5,0,0.0,0,1
Uganda,Botswana,"Gymkhana Club Ground, Nairobi",Uganda,1,Uganda,2023-06-14,83,0.6144578313253012,4,39,0.28205128205128205,2,2,0,5,0.8,2,0.0,1,0
Rwanda,Kenya,"Gymkhana Club Ground, Nairobi",Rwanda,1,Kenya,2023-06-14,45,0.4444444444444444,2,68,0.5147058823529411,3,0,4,2,0.5,11,0.45454545454545453,1,0
Botswana,Kenya,"Gymkhana Club Ground, Nairobi",Botswana,1,Botswana,2023-06-15,40,0.275,1,69,0.5217391304347826,3,0,3,3,0.0,12,0.5,1,0
Rwanda,Uganda,"Gymkhana Club Ground, Nairobi",Uganda,0,Uganda,2023-06-15,46,0.43478260869565216,2,84,0.6190476190476191,4,0,8,3,0.3333333333333333,6,0.8333333333333334,0,1
Rwanda,Kenya,"Gymkhana Club Ground, Nairobi",Rwanda,1,Kenya,2023-06-17,47,0.425531914893617,2,70,0.5142857142857142,3,0,5,4,0.25,13,0.46153846153846156,1,0
Botswana,Uganda,"Gymkhana Club Ground, Nairobi",Botswana,1,Uganda,2023-06-17,41,0.2926829268292683,1,85,0.6235294117647059,4,0,3,4,0.25,7,0.8571428571428571,1,0
Botswana,Rwanda,"Gymkhana Club Ground, Nairobi",Botswana,1,Rwanda,2023-06-18,42,0.2857142857142857,1,48,0.4166666666666667,1,0,3,5,0.2,5,0.2,1,0
Kenya,Uganda,"Gymkhana Club Ground, Nairobi",Kenya,1,Uganda,2023-06-18,71,0.5211267605633803,3,86,0.627906976744186,5,5,7,14,0.5,8,0.875,1,0
Uganda,Rwanda,"Gymkhana Club Ground, Nairobi",Uganda,1,Uganda,2023-06-19,87,0.632183908045977,5,49,0.42857142857142855,2,9,0,9,0.8888888888888888,6,0.3333333333333333,1,0
Botswana,Kenya,"Gymkhana Club Ground, Nairobi",Botswana,1,Kenya,2023-06-19,43,0.27906976744186046,1,72,0.5138888888888888,2,1,3,6,0.16666666666666666,15,0.4666666666666667,1,0
Uganda,Kenya,"Gymkhana Club Ground, Nairobi",Uganda,1,Uganda,2023-06-21,88,0.6363636363636364,5,73,0.5205479452054794,3,8,5,10,0.9,16,0.5,1,0
Serbia,Turkey,"National Sports Academy, Sofia",Serbia,1,Serbia,2023-06-23,15,0.26666666666666666,2,8,0.0,0,1,0,7,0.0,0,0.0,1,0
Croatia,Bulgaria,"National Sports Academy, Sofia",Bulgaria,0,Bulgaria,2023-06-23,5,0.4,2,25,0.36,1,0,0,0,0.0,5,0.8,0,1
Bulgaria,Serbia,"National Sports Academy, Sofia",Serbia,0,Serbia,2023-06-23,26,0.38461538461538464,2,16,0.3125,3,5,2,6,0.8333333333333334,8,0.125,0,1
Croatia,Turkey,"National Sports Academy, Sofia",Croatia,1,Turkey,2023-06-24,6,0.3333333333333333,2,9,0.0,0,0,0,1,0.0,1,0.0,1,0
Croatia,Serbia,"National Sports Academy, Sofia",Croatia,1,Serbia,2023-06-24,7,0.2857142857142857,1,17,0.35294117647058826,3,1,0,2,0.0,9,0.2222222222222222,1,0
Turkey,Bulgaria,"National Sports Academy, Sofia",Bulgaria,0,Bulgaria,2023-06-24,10,0.1,1,27,0.37037037037037035,2,0,0,2,0.5,7,0.7142857142857143,0,1
Austria,Germany,"Sportpark Het Schootsveld, Deventer",Germany,0,Germany,2023-06-29,20,0.6,4,61,0.6065573770491803,3,1,6,0,0.0,0,0.0,0,1
Austria,Germany,"Sportpark Het Schootsveld, Deventer",Germany,0,Germany,2023-06-30,21,0.5714285714285714,4,62,0.6129032258064516,3,1,7,1,0.0,1,1.0,0,1
England,Australia,"Edgbaston, Birmingham",Australia,0,Australia,2023-07-01,284,0.6338028169014085,1,275,0.6436363636363637,5,22,25,6,0.5,5,1.0,0,1
Ireland,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,0,West Indies,2023-07-04,181,0.430939226519337,1,251,0.4262948207171315,4,3,7,0,0.0,5,0.8,0,1
England,Australia,"Kennington Oval, London",Australia,0,England,2023-07-05,285,0.631578947368421,0,276,0.644927536231884,5,22,26,0,0.0,0,0.0,0,1
Ireland,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Ireland,1,West Indies,2023-07-06,182,0.42857142857142855,1,252,0.42857142857142855,4,3,8,1,0.0,6,0.8333333333333334,1,0
Australia,England,"Lord's, London",England,0,England,2023-07-08,277,0.6425992779783394,4,286,0.6328671328671329,1,26,23,0,0.0,0,0.0,0,1
Ireland,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Ireland,1,West Indies,2023-07-08,183,0.4262295081967213,1,253,0.4308300395256917,4,3,9,2,0.0,7,0.8571428571428571,1,0
Sri Lanka,New Zealand,"P Sara Oval, Colombo",New Zealand,0,New Zealand,2023-07-08,250,0.4,2,261,0.5632183908045977,3,7,19,0,0.0,0,0.0,0,1
Bangladesh,India,"Shere Bangla National Stadium, Mirpur",India,0,India,2023-07-09,205,0.3951219512195122,2,297,0.6127946127946128,3,3,15,21,0.6190476190476191,0,0.0,0,1
Scotland,Thailand,"Sportpark Maarschalkerweerd, Utrecht",Thailand,0,Thailand,2023-07-10,96,0.5,2,60,0.4666666666666667,4,2,0,0,0.0,0,0.0,0,1
France,Malta,Marsa Sports Club,Malta,0,France,2023-07-10,20,0.35,4,28,0.5357142857142857,1,0,0,0,0.0,14,0.6428571428571429,0,1
Sri Lanka,New Zealand,"P Sara Oval, Colombo",New Zealand,0,New Zealand,2023-07-10,251,0.398406374501992,2,262,0.5648854961832062,3,7,20,1,0.0,1,1.0,0,1
Malta,France,Marsa Sports Club,Malta,1,Malta,2023-07-10,29,0.5172413793103449,1,21,0.38095238095238093,5,0,1,15,0.6,1,1.0,1,0
India,Bangladesh,"Shere Bangla National Stadium, Mirpur",India,1,India,2023-07-11,298,0.6140939597315436,3,206,0.3932038834951456,1,16,3,1,1.0,22,0.5909090909090909,1,0
Thailand,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",Netherlands,0,Netherlands,2023-07-11,61,0.47540983606557374,4,108,0.49074074074074076,2,4,1,1,1.0,0,0.0,0,1
France,Luxembourg,Marsa Sports Club,France,1,France,2023-07-11,22,0.36363636363636365,4,17,0.4117647058823529,3,0,0,2,0.5,0,0.0,1,0
Malta,Luxembourg,Marsa Sports Club,Luxembourg,0,Malta,2023-07-11,30,0.5333333333333333,2,18,0.3888888888888889,3,0,0,16,0.625,1,0.0,0,1
